"Timestamp (America/Chicago)","RA3E-6C6E39 TEMP_HUM2259 [Temperature & Humidity](2)Humidity(%RH)"
06/16/2024 07:14:30,39.40
06/16/2024 06:14:27,40.03
06/16/2024 05:14:23,40.03
06/16/2024 04:14:20,40.03
06/16/2024 03:14:16,39.72
06/16/2024 02:14:13,40.67
06/16/2024 01:14:09,41.00
06/16/2024 00:14:00,41.30
06/15/2024 23:14:02,41.62
06/15/2024 22:13:58,41.95
06/15/2024 21:13:54,42.58
06/15/2024 20:13:51,43.22
06/15/2024 19:13:42,43.22
06/15/2024 18:13:44,43.53
06/15/2024 17:13:40,42.90
06/15/2024 16:13:32,42.58
06/15/2024 15:13:28,42.90
06/15/2024 14:13:24,42.58
06/15/2024 13:13:21,42.58
06/15/2024 12:13:22,42.58
06/15/2024 11:13:19,42.58
06/15/2024 10:13:10,43.22
06/15/2024 09:13:06,43.53
06/15/2024 08:13:03,43.22
06/15/2024 07:13:04,43.22
06/15/2024 06:12:56,43.53
06/15/2024 05:12:57,43.22
06/15/2024 04:12:48,42.90
06/15/2024 03:12:45,42.25
06/15/2024 02:12:41,41.62
06/15/2024 01:12:43,40.35
06/15/2024 00:12:39,39.72
06/14/2024 23:12:30,39.40
06/14/2024 22:12:27,39.40
06/14/2024 21:12:28,39.40
06/14/2024 20:12:20,40.67
06/14/2024 19:12:16,41.30
06/14/2024 18:12:13,41.95
06/14/2024 17:12:14,42.25
06/14/2024 16:12:05,42.58
06/14/2024 15:12:02,42.90
06/14/2024 14:11:58,42.58
06/14/2024 13:12:00,41.95
06/14/2024 12:11:56,41.30
06/14/2024 11:11:47,38.75
06/14/2024 10:11:44,37.50
06/14/2024 09:11:40,40.67
06/14/2024 08:11:42,41.62
06/14/2024 07:11:38,41.95
06/14/2024 06:11:30,42.25
06/14/2024 05:11:31,43.22
06/14/2024 04:11:22,44.17
06/14/2024 03:11:19,44.80
06/14/2024 02:11:15,46.08
06/14/2024 01:11:12,45.75
06/14/2024 00:11:08,45.75
06/13/2024 23:11:04,45.75
06/13/2024 22:11:01,45.75
06/13/2024 21:11:02,44.80
06/13/2024 20:10:58,43.53
06/13/2024 19:10:55,43.85
06/13/2024 18:10:47,42.90
06/13/2024 17:10:43,43.22
06/13/2024 16:10:39,43.85
06/13/2024 15:10:36,43.22
06/13/2024 14:10:32,43.22
06/13/2024 13:10:29,42.90
06/13/2024 12:10:25,41.95
06/13/2024 11:10:21,40.03
06/13/2024 10:10:18,41.00
06/13/2024 09:10:14,42.25
06/13/2024 08:10:11,43.22
06/13/2024 07:10:07,43.22
06/13/2024 06:10:03,42.90
06/13/2024 05:10:00,43.53
06/13/2024 04:09:56,43.53
06/13/2024 03:09:53,43.22
06/13/2024 02:09:49,43.22
06/13/2024 01:09:45,42.58
06/13/2024 00:09:42,42.25
06/12/2024 23:09:38,41.30
06/12/2024 22:09:35,40.35
06/12/2024 21:09:31,39.40
06/12/2024 20:09:28,38.75
06/12/2024 19:09:24,38.75
06/12/2024 18:09:24,38.12
06/12/2024 17:09:17,34.95
06/12/2024 16:09:13,33.03
06/12/2024 15:09:09,33.35
06/12/2024 14:09:06,36.53
06/12/2024 13:09:03,36.85
06/12/2024 12:08:59,38.12
06/12/2024 11:08:55,38.45
06/12/2024 10:08:52,38.45
06/12/2024 09:08:48,38.45
06/12/2024 08:08:45,39.72
06/12/2024 07:08:41,39.40
06/12/2024 06:08:37,38.75
06/12/2024 05:08:34,37.50
06/12/2024 04:08:30,36.22
06/12/2024 03:08:27,34.95
06/12/2024 02:08:23,33.03
06/12/2024 01:08:19,33.03
06/12/2024 00:08:16,33.03
06/11/2024 23:08:17,35.58
06/11/2024 22:08:14,38.12
06/11/2024 21:08:10,37.50
06/11/2024 20:08:06,36.53
06/11/2024 19:08:03,34.00
06/11/2024 18:07:54,34.00
06/11/2024 17:07:51,34.30
06/11/2024 16:07:47,33.67
06/11/2024 15:07:49,33.67
06/11/2024 14:07:45,33.35
06/11/2024 13:07:36,34.30
06/11/2024 12:07:38,33.35
06/11/2024 11:07:29,34.30
06/11/2024 10:45:48,29.53
06/11/2024 09:45:44,27.62
06/11/2024 08:45:41,27.62
06/11/2024 07:45:37,29.85
06/11/2024 06:45:28,31.12
06/11/2024 05:45:30,31.77
06/11/2024 04:45:26,31.77
06/11/2024 03:45:24,31.77
06/11/2024 02:45:19,32.72
06/11/2024 01:45:15,30.50
06/11/2024 00:45:15,29.22
06/10/2024 23:45:08,28.90
06/10/2024 22:45:05,31.12
06/10/2024 21:45:01,29.22
06/10/2024 20:44:58,26.03
06/10/2024 19:44:54,22.22
06/10/2024 18:44:54,21.58
06/10/2024 17:44:47,24.45
06/10/2024 16:44:43,27.00
06/10/2024 15:44:43,23.80
06/10/2024 14:44:31,25.72
06/10/2024 13:44:32,28.27
06/10/2024 12:44:29,26.67
06/10/2024 11:44:25,27.62
06/10/2024 10:44:22,31.12
06/10/2024 09:44:18,32.72
06/10/2024 08:44:10,35.90
06/10/2024 07:44:11,35.58
06/10/2024 06:44:07,36.53
06/10/2024 05:44:04,39.40
06/10/2024 04:44:01,38.12
06/10/2024 03:43:57,38.75
06/10/2024 02:43:53,40.67
06/10/2024 01:43:44,39.72
06/10/2024 00:43:46,41.30
06/09/2024 23:43:42,42.25
06/09/2024 22:43:34,41.95
06/09/2024 21:43:35,41.95
06/09/2024 20:43:32,41.00
06/09/2024 19:43:28,40.03
06/09/2024 18:43:25,35.58
06/09/2024 18:09:54,30.80
